,Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
103,22,Male,Master's,Widowed,104766.0,764.0,16117.0,Business,Unemployed,17,Good,0.2115250612147935,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Low
104,41,Female,Master's,Widowed,79556.0,742.0,5235.0,Home,Employed,5,Excellent,0.3223561389565612,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Low
105,57,Male,Master's,Single,116102.0,629.0,31831.0,Home,Employed,16,Excellent,0.5163625127453508,228018.0,4.0,Smithborough,IA,Palestinian Territory,2.0,0,Medium
107,58,Non-binary,High School,Widowed,20947.0,776.0,38756.0,Personal,Unemployed,0,Good,0.2184032242675136,91848.0,4.0,North Jeff,MT,Burundi,0.0,1,Low
109,52,Male,High School,Married,32094.0,634.0,17612.0,Home,Self-employed,17,Good,0.5494565438929674,114375.0,2.0,West Robert,IA,Singapore,2.0,0,Medium
111,55,Non-binary,Master's,Widowed,108177.0,735.0,23616.0,Business,Employed,12,Fair,0.3352843562126709,165613.0,2.0,Barneston,CA,Saint Pierre and Miquelon,1.0,2,Medium
113,41,Female,PhD,Widowed,96591.0,722.0,7260.0,Home,Employed,12,Fair,0.5844948094433683,102681.0,0.0,New Shelby,KS,Lesotho,2.0,2,Medium
116,53,Female,High School,Married,51236.0,718.0,31196.0,Personal,Self-employed,3,Poor,0.1686306073538819,45029.0,1.0,Ellenbury,AS,Uruguay,0.0,1,Low
119,36,Non-binary,PhD,Divorced,101863.0,688.0,31132.0,Business,Employed,2,Poor,0.2194031136798087,149141.0,3.0,Dunnhaven,MN,Saint Pierre and Miquelon,0.0,2,Low
120,67,Male,Master's,Widowed,107366.0,655.0,20154.0,Home,Employed,9,Poor,0.4166178675119605,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Low
122,60,Female,PhD,Married,74030.0,711.0,9459.0,Personal,Unemployed,19,Fair,0.1606768880178258,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Low
123,39,Male,Master's,Divorced,56116.0,636.0,16578.0,Personal,Employed,12,Excellent,0.3131077322681647,197835.0,1.0,Johnnyberg,NY,South Africa,1.0,0,Medium
126,64,Male,PhD,Single,101855.0,686.0,48584.0,Auto,Self-employed,9,Good,0.5725244059508022,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Low
127,40,Male,PhD,Single,89535.0,624.0,12990.0,Auto,Unemployed,6,Good,0.1173550713933556,48187.0,0.0,South Haileyview,NC,Suriname,3.0,2,Low
128,18,Non-binary,PhD,Divorced,107329.0,735.0,22694.0,Home,Self-employed,1,Poor,0.232809019850618,71327.0,4.0,East Michael,MP,Netherlands Antilles,0.0,1,Low
130,39,Non-binary,High School,Widowed,99622.0,720.0,23158.0,Auto,Employed,6,Good,0.4198139284173301,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Low
131,67,Male,PhD,Divorced,110896.0,689.0,11503.0,Business,Self-employed,9,Excellent,0.106251703430493,121360.0,0.0,New Russellfurt,HI,Jersey,2.0,0,Medium
132,28,Female,PhD,Single,64541.0,703.0,20017.0,Auto,Self-employed,1,Good,0.2063119883207453,24856.0,4.0,Lake Keithtown,MO,Suriname,1.0,1,High
133,53,Non-binary,PhD,Single,26613.0,771.0,6982.0,Auto,Employed,5,Fair,0.1071982866184308,56108.0,2.0,Gouldbury,CO,Maldives,0.0,0,Low
135,31,Female,PhD,Widowed,50885.0,669.0,18293.0,Home,Unemployed,7,Poor,0.2585700348588018,99103.0,4.0,Margaretchester,KY,Mayotte,3.0,2,Low
136,48,Male,Master's,Divorced,107050.0,711.0,14382.0,Business,Self-employed,3,Excellent,0.5021079663602153,142063.0,1.0,New Janet,CT,Samoa,1.0,1,Medium
140,35,Male,High School,Divorced,114877.0,699.0,46113.0,Business,Unemployed,6,Excellent,0.389906857140349,254153.0,0.0,Port Andreamouth,WV,Luxembourg,1.0,1,Medium
141,36,Female,Bachelor's,Divorced,44283.0,755.0,42326.0,Personal,Self-employed,7,Poor,0.1161353089946739,228890.0,4.0,Turnerchester,NV,Micronesia,0.0,2,Low
142,59,Female,High School,Single,60385.0,743.0,30961.0,Business,Self-employed,19,Excellent,0.3837790169957481,222830.0,4.0,Greenport,WV,Azerbaijan,2.0,0,Low
147,63,Female,High School,Single,40113.0,722.0,5044.0,Personal,Employed,1,Excellent,0.4962444575108706,159493.0,3.0,New Martinberg,OR,Cyprus,0.0,2,Low
148,43,Female,Bachelor's,Single,29797.0,727.0,10640.0,Business,Self-employed,14,Excellent,0.5093030635544635,89291.0,4.0,Frankport,NE,Austria,3.0,0,Low
149,39,Non-binary,Bachelor's,Divorced,31137.0,757.0,7326.0,Personal,Unemployed,9,Poor,0.4417942672230454,68848.0,3.0,North Nathantown,MN,Indonesia,1.0,2,Medium
150,62,Female,PhD,Divorced,115923.0,726.0,37406.0,Personal,Self-employed,17,Good,0.2873108782096099,154178.0,1.0,West Elizabethside,MA,Peru,2.0,1,High
152,22,Female,High School,Widowed,69738.0,727.0,15974.0,Auto,Self-employed,10,Good,0.3874834568199873,238717.0,1.0,New Kathryn,OR,Norway,0.0,1,Low
154,37,Non-binary,PhD,Divorced,76795.0,645.0,33454.0,Personal,Self-employed,13,Excellent,0.508511241522257,40258.0,4.0,Andreaborough,NV,Bangladesh,3.0,0,Low
160,27,Non-binary,High School,Widowed,61232.0,643.0,46522.0,Business,Unemployed,6,Fair,0.151099074628696,285561.0,2.0,Villafurt,RI,Sao Tome and Principe,2.0,0,Low
163,34,Female,High School,Widowed,118679.0,731.0,40823.0,Auto,Employed,6,Poor,0.3539516327477644,63853.0,0.0,North Jeremy,AS,Georgia,0.0,2,Low
164,65,Male,Master's,Single,89126.0,643.0,38741.0,Auto,Employed,0,Excellent,0.1314491588407499,50589.0,1.0,New Julieside,AK,Martinique,4.0,0,High
166,66,Non-binary,PhD,Widowed,104677.0,784.0,24588.0,Home,Unemployed,9,Fair,0.3048360021881736,50584.0,4.0,South Karen,NM,Finland,4.0,0,Low
169,27,Non-binary,Master's,Divorced,80523.0,604.0,13043.0,Auto,Employed,15,Excellent,0.1122702485780294,201865.0,3.0,North Jessicachester,WY,Andorra,4.0,1,Low
174,43,Non-binary,Master's,Single,87687.0,791.0,16663.0,Auto,Unemployed,9,Fair,0.3152256619902848,291278.0,0.0,Jordanville,CT,Solomon Islands,1.0,0,Medium
178,37,Female,PhD,Single,20987.0,640.0,8042.0,Home,Employed,12,Fair,0.4428126838448438,55772.0,3.0,Bradleyshire,NE,Falkland Islands (Malvinas),1.0,1,Low
179,24,Non-binary,Master's,Widowed,61876.0,791.0,7070.0,Personal,Unemployed,0,Excellent,0.1146735381820234,131369.0,2.0,East Stephentown,SD,Slovakia (Slovak Republic),0.0,0,Low
180,31,Female,Master's,Widowed,108454.0,716.0,33552.0,Personal,Unemployed,8,Poor,0.5880023142661885,24976.0,0.0,South Danielleview,VT,Chile,2.0,0,High
183,26,Male,High School,Widowed,28583.0,611.0,29949.0,Personal,Employed,19,Excellent,0.2001437931240066,139629.0,3.0,West Ashleyberg,KS,Libyan Arab Jamahiriya,2.0,0,Medium
187,61,Non-binary,Master's,Widowed,88056.0,684.0,9746.0,Personal,Employed,15,Good,0.361356667931265,48339.0,0.0,Meganfurt,NE,Comoros,0.0,0,Low
189,21,Male,Bachelor's,Divorced,39330.0,769.0,27489.0,Home,Self-employed,14,Excellent,0.4546108245277312,284455.0,3.0,Martinezmouth,PA,Costa Rica,0.0,2,Low
190,52,Non-binary,PhD,Divorced,111594.0,715.0,9174.0,Home,Unemployed,4,Good,0.1008151259671944,137074.0,2.0,Victoriamouth,MN,Western Sahara,2.0,1,Low
191,27,Female,High School,Divorced,102789.0,742.0,10729.0,Business,Employed,17,Good,0.2713076074217362,269293.0,0.0,Lauratown,AL,Vanuatu,1.0,0,Medium
193,18,Non-binary,High School,Divorced,27313.0,786.0,24399.0,Auto,Self-employed,10,Excellent,0.1510468100347879,284643.0,4.0,Traceyshire,FL,North Macedonia,0.0,2,Low
195,63,Female,Bachelor's,Divorced,101844.0,688.0,9667.0,Home,Employed,1,Excellent,0.2516621222377261,61882.0,0.0,West Robin,IL,Somalia,4.0,2,Low
197,47,Non-binary,High School,Married,28673.0,699.0,19540.0,Auto,Unemployed,19,Fair,0.4080406716614276,255563.0,0.0,North Bonnie,MI,Mali,1.0,2,Medium
198,22,Female,Bachelor's,Widowed,35973.0,663.0,19492.0,Auto,Unemployed,2,Good,0.4324942876649389,82006.0,3.0,Hartmanmouth,VI,Suriname,0.0,0,Medium
199,41,Male,Bachelor's,Single,62011.0,747.0,15722.0,Business,Employed,3,Poor,0.1765539150105398,259195.0,2.0,Garrettton,MD,Romania,3.0,0,Medium
203,54,Male,Bachelor's,Married,114486.0,704.0,32353.0,Auto,Self-employed,7,Poor,0.4003182792891047,222630.0,1.0,Jarviston,KY,Saint Pierre and Miquelon,1.0,1,Low
204,34,Female,Bachelor's,Single,42064.0,760.0,39482.0,Personal,Employed,0,Excellent,0.2019002194960407,243318.0,0.0,Krystalberg,PA,Lesotho,3.0,2,Low
205,60,Female,PhD,Married,80883.0,699.0,46731.0,Auto,Employed,12,Excellent,0.56123342840554,200074.0,3.0,East Sherrifurt,GU,British Indian Ocean Territory (Chagos Archipelago),0.0,2,Medium
206,43,Female,PhD,Widowed,31231.0,712.0,48935.0,Personal,Employed,8,Good,0.1075065203513328,277314.0,2.0,South Kent,CT,Pakistan,3.0,0,Medium
207,47,Male,Bachelor's,Married,85651.0,799.0,17157.0,Auto,Unemployed,2,Fair,0.5419208655938658,200136.0,3.0,Matthewshire,RI,Grenada,3.0,0,Medium
209,45,Male,Bachelor's,Divorced,85839.0,686.0,29177.0,Business,Self-employed,11,Excellent,0.2600552130780492,114053.0,0.0,Port Vickie,LA,New Caledonia,4.0,0,Low
210,20,Non-binary,Bachelor's,Single,109590.0,625.0,41449.0,Personal,Self-employed,16,Fair,0.519828253285117,114922.0,1.0,Annettemouth,PR,Cape Verde,4.0,2,Low
211,43,Non-binary,Bachelor's,Widowed,68960.0,675.0,25542.0,Personal,Employed,10,Good,0.4362799956472334,60758.0,0.0,East Nancy,AZ,Vanuatu,2.0,2,Medium
212,47,Non-binary,High School,Single,58217.0,658.0,15328.0,Business,Unemployed,11,Poor,0.5254072582178596,169695.0,0.0,East Nicholas,NH,Angola,0.0,0,Medium
215,49,Non-binary,Bachelor's,Married,105916.0,750.0,6324.0,Personal,Unemployed,17,Poor,0.2699844587932528,89195.0,2.0,New Phillip,SD,Peru,1.0,1,High
216,35,Non-binary,PhD,Widowed,111627.0,630.0,39992.0,Home,Employed,14,Poor,0.3948826482204984,200110.0,1.0,Johnsonborough,NC,Costa Rica,0.0,0,Medium
220,62,Non-binary,Master's,Single,74850.0,650.0,17324.0,Personal,Self-employed,14,Excellent,0.1912766746085446,151244.0,0.0,New Catherineton,OR,Marshall Islands,0.0,2,Low
222,40,Male,Bachelor's,Single,90179.0,693.0,32825.0,Personal,Self-employed,5,Good,0.5841473446063327,129600.0,3.0,Brownville,IL,Wallis and Futuna,4.0,1,Low
223,53,Non-binary,High School,Widowed,117507.0,685.0,45544.0,Auto,Self-employed,11,Good,0.3757826517216768,228273.0,0.0,Smithtown,ME,Moldova,0.0,1,Low
224,31,Male,High School,Married,34002.0,738.0,23618.0,Home,Unemployed,6,Fair,0.1730556802907323,269695.0,3.0,Davismouth,AL,Peru,2.0,1,Low
225,33,Non-binary,Master's,Married,74333.0,693.0,47328.0,Personal,Unemployed,5,Poor,0.5220940826849315,111726.0,0.0,Port Mandyland,CA,Italy,1.0,0,Low
226,58,Male,High School,Divorced,109067.0,790.0,35949.0,Home,Self-employed,14,Poor,0.3982113524904394,206088.0,0.0,Marieside,NV,Zambia,1.0,0,Medium
227,47,Female,Master's,Married,54022.0,775.0,9445.0,Business,Employed,12,Fair,0.244654441571012,177570.0,1.0,Reedberg,MT,Thailand,0.0,1,Low
228,24,Non-binary,PhD,Divorced,67278.0,742.0,13704.0,Auto,Self-employed,2,Excellent,0.4992350547189412,171149.0,0.0,Lake Christina,VT,French Southern Territories,0.0,2,Medium
229,48,Male,Master's,Divorced,37540.0,673.0,34317.0,Home,Employed,7,Poor,0.5059027255840258,32715.0,4.0,New Sara,NE,Morocco,4.0,1,Medium
232,55,Non-binary,High School,Divorced,98283.0,650.0,42997.0,Auto,Unemployed,17,Fair,0.4866386788511888,178174.0,4.0,East John,ID,Argentina,0.0,0,Low
233,65,Male,High School,Single,27826.0,736.0,43125.0,Auto,Employed,18,Good,0.2531614675810945,118770.0,0.0,West David,FL,Iraq,3.0,1,Medium
236,54,Non-binary,Master's,Single,62296.0,744.0,23778.0,Business,Self-employed,1,Excellent,0.2030528066711464,173854.0,0.0,Port Sandra,DE,Bulgaria,1.0,0,High
237,37,Female,PhD,Married,111551.0,632.0,10074.0,Business,Employed,6,Excellent,0.5873779202396134,66221.0,0.0,Tanyafort,OK,Saint Helena,2.0,0,Medium
241,30,Female,Bachelor's,Widowed,113925.0,611.0,48919.0,Business,Unemployed,19,Poor,0.4709401663478705,28459.0,0.0,Holmesmouth,RI,Malta,3.0,1,Low
244,30,Non-binary,Master's,Widowed,114499.0,779.0,40584.0,Auto,Self-employed,6,Fair,0.284052613918844,76919.0,3.0,New Susan,AR,Mauritius,2.0,1,Low
245,19,Female,Bachelor's,Single,83471.0,793.0,8810.0,Personal,Self-employed,14,Excellent,0.5115467956413187,145761.0,4.0,Baileystad,ND,Mauritania,1.0,0,Low
248,54,Female,Bachelor's,Divorced,54560.0,760.0,30826.0,Auto,Employed,11,Poor,0.5682172477963229,21537.0,0.0,Kennethberg,MP,Iceland,2.0,2,Low
249,19,Female,Master's,Divorced,115381.0,727.0,40970.0,Auto,Self-employed,14,Good,0.451811592453071,291530.0,1.0,Hunterside,SC,Namibia,0.0,0,Low
251,43,Male,Master's,Divorced,81683.0,693.0,10316.0,Home,Employed,2,Good,0.351319135495249,28304.0,3.0,Dyerfort,MS,Holy See (Vatican City State),0.0,0,Low
252,67,Male,Bachelor's,Single,104661.0,771.0,8751.0,Personal,Employed,7,Good,0.5085360756482282,100251.0,0.0,East Matthewtown,ME,Western Sahara,0.0,1,Medium
253,51,Non-binary,Master's,Widowed,72299.0,676.0,37088.0,Auto,Unemployed,3,Fair,0.5466745274811823,163332.0,0.0,Kennethshire,HI,Anguilla,2.0,2,Medium
255,19,Male,Master's,Widowed,106009.0,681.0,22351.0,Business,Self-employed,2,Excellent,0.5872100528948899,162947.0,0.0,North Daniel,AZ,Vietnam,4.0,0,Low
256,25,Non-binary,Master's,Single,37330.0,797.0,28892.0,Personal,Unemployed,11,Excellent,0.4511427596117617,247877.0,3.0,Keithberg,IL,Iraq,2.0,1,Medium
258,32,Female,PhD,Single,99688.0,732.0,12429.0,Home,Unemployed,8,Poor,0.4302340031734621,267072.0,0.0,Port Sarahton,MI,North Macedonia,3.0,2,Medium
261,60,Male,PhD,Married,114018.0,636.0,28620.0,Business,Employed,1,Excellent,0.2610442617998637,38980.0,3.0,West Kaylee,CO,Liberia,1.0,1,Medium
262,43,Female,PhD,Divorced,88309.0,724.0,7848.0,Auto,Self-employed,10,Excellent,0.2534304907639844,103243.0,4.0,Fergusonchester,DC,Germany,0.0,2,Low
263,51,Non-binary,High School,Divorced,62262.0,606.0,6667.0,Personal,Unemployed,4,Good,0.5451895423433741,268305.0,0.0,New Paulside,TN,Qatar,1.0,1,Low
265,35,Female,PhD,Single,39629.0,622.0,9537.0,Home,Unemployed,2,Fair,0.5243581890459524,48636.0,1.0,Desireeville,DC,Sao Tome and Principe,4.0,0,Low
268,42,Female,High School,Widowed,35203.0,726.0,34541.0,Auto,Unemployed,5,Poor,0.5564764163350343,252977.0,0.0,East Morgan,MH,Saint Martin,0.0,1,Medium
271,66,Female,High School,Single,61291.0,639.0,7908.0,Personal,Unemployed,12,Poor,0.1689996934308512,33810.0,1.0,Port David,WA,Mayotte,3.0,2,Low
274,46,Female,Master's,Married,34284.0,775.0,26340.0,Personal,Self-employed,14,Fair,0.4003539906935994,64156.0,4.0,New Melissamouth,NV,Wallis and Futuna,0.0,2,Medium
275,33,Male,Master's,Married,115066.0,799.0,31359.0,Home,Self-employed,5,Excellent,0.2285691526903416,142354.0,0.0,North Brianbury,OK,Mexico,4.0,1,Low
277,28,Non-binary,Bachelor's,Divorced,98311.0,689.0,34763.0,Business,Employed,8,Excellent,0.3886654611622202,216062.0,0.0,West Deanna,TN,India,3.0,2,Low
278,67,Male,Bachelor's,Widowed,63148.0,660.0,16704.0,Auto,Self-employed,0,Fair,0.3343446208767886,40643.0,0.0,Kimberlychester,TX,Tajikistan,4.0,2,Low
279,27,Non-binary,PhD,Married,114436.0,775.0,39216.0,Business,Employed,7,Excellent,0.1020129918033685,158498.0,0.0,Torresbury,FL,South Georgia and the South Sandwich Islands,2.0,1,Low
280,28,Male,Bachelor's,Single,94693.0,718.0,20928.0,Business,Unemployed,5,Fair,0.3238498114865585,257028.0,2.0,Josephstad,MP,Georgia,4.0,2,Low
283,20,Female,PhD,Married,102245.0,686.0,33967.0,Business,Unemployed,4,Fair,0.1926807724813683,116854.0,0.0,New Frank,CA,Rwanda,2.0,2,Medium
284,27,Male,High School,Single,88173.0,746.0,14800.0,Personal,Self-employed,8,Fair,0.5387122455816609,289092.0,0.0,South Susanfurt,KY,Congo,1.0,1,Low
285,34,Non-binary,High School,Married,70807.0,745.0,39572.0,Business,Employed,18,Good,0.43397527425466,130451.0,3.0,South Audrey,MP,Saint Lucia,4.0,0,Low
286,66,Non-binary,Bachelor's,Single,22944.0,668.0,44767.0,Auto,Employed,7,Excellent,0.4484018977599556,31159.0,0.0,Kevinbury,TX,Belgium,0.0,2,Medium
289,38,Female,High School,Divorced,99314.0,656.0,17158.0,Personal,Self-employed,8,Excellent,0.1238895680975468,162247.0,4.0,Diazview,GU,Yemen,2.0,1,Low
290,48,Male,Bachelor's,Single,25465.0,671.0,36672.0,Auto,Self-employed,8,Fair,0.2550030567948225,237546.0,4.0,Markville,PA,Romania,1.0,1,Medium
291,40,Female,High School,Widowed,104766.0,688.0,35808.0,Business,Employed,15,Poor,0.3207683159201678,198067.0,1.0,West Scottshire,MS,Falkland Islands (Malvinas),4.0,1,High
295,69,Female,Master's,Divorced,118995.0,787.0,14398.0,Auto,Employed,15,Good,0.4882737268660916,148047.0,0.0,Clarkborough,DE,Bermuda,3.0,1,Medium
296,31,Non-binary,High School,Widowed,63322.0,773.0,8074.0,Business,Employed,5,Fair,0.3814670979124803,267802.0,3.0,Port Michaelmouth,ID,Romania,1.0,0,High
298,43,Female,Master's,Single,34821.0,775.0,22889.0,Personal,Unemployed,18,Good,0.1187215803827614,278194.0,0.0,Lake James,MD,Niue,3.0,2,High
302,18,Non-binary,High School,Widowed,99671.0,669.0,30460.0,Personal,Unemployed,18,Poor,0.4338122306863922,25531.0,1.0,Jacquelineborough,MP,Greece,1.0,1,Medium
303,56,Male,High School,Widowed,73953.0,710.0,42364.0,Home,Self-employed,1,Good,0.5557708494787811,152625.0,1.0,North Michael,NY,United States Minor Outlying Islands,2.0,2,Medium
304,18,Non-binary,Master's,Widowed,71500.0,734.0,44400.0,Personal,Self-employed,14,Excellent,0.2481041989232198,127985.0,4.0,Dustinbury,CT,Malawi,0.0,0,Low
305,53,Female,PhD,Divorced,88669.0,720.0,17468.0,Home,Self-employed,6,Excellent,0.5759772163134455,199129.0,0.0,West Daniel,NE,Japan,4.0,1,Low
306,39,Non-binary,High School,Widowed,98886.0,695.0,30101.0,Auto,Employed,17,Excellent,0.4419036818174605,200996.0,1.0,North Emily,KS,France,0.0,2,Low
307,33,Non-binary,Bachelor's,Single,46953.0,627.0,23284.0,Business,Self-employed,7,Good,0.2331527183467255,192563.0,3.0,West Michelle,VA,Monaco,0.0,1,Medium
